adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,,"[28, 18]",1011477,en,Untitled Karate Kid Film,"17 year-old karate pro Li finds his life upended when he and his mother move from Beijing to New York. After Li meets Mia, a student from his high school, and her father, Victor, at a local pizza restaurant, he’ll soon find his life has changed yet again – for the better. Li soon finds himself training Victor in the art of Kung Fu, despite his mother’s stance against violence and fighting, and ultimately back in the ring himself.",3.047,,2024-06-07,Untitled Karate Kid Film,False,0,0
False,/qUA7SsWDecxX3UqkLVV3HPat4NQ.jpg,[18],996084,de,Vena,,0.662,,2024-06-06,Vena,False,0,0
False,/zYOUXV4XhYm6mhrB5mR6sKUwkIn.jpg,"[28, 80, 53]",541671,en,Ballerina,A young female assassin seeks revenge against the people who killed her family.,12.099,/mzJJK4xfLlWfRHBXgmCloj1mpp8.jpg,2024-06-06,Ballerina,False,0,0
False,,[],1027023,en,Neverending Story,Disney Remake of the original Neverending Story,1.275,,2024-06-01,Neverending Story,False,0,0
False,,"[27, 18]",1024642,en,Malevolent,"Alex, a college freshman, has just recently lost her brother to suicide. The only bond they had was through drugs. After a bad high, a demon latches itself onto Alex causing her to have a horrific nightmarish encounter.",1.82,/7Ql8Kg1dcMFTbGGckrNb9DN79dR.jpg,2024-05-31,Malevolent,False,0,0
False,,"[28, 12, 35]",1097596,en,The World's Best Burger,"A stoner college student's quest to create the world's best burger leads to a wild adventure with a food critic involving action, some valuable life lessons, and a really freakin' good burger",1.239,/acRm9LDPLTXAHvnWKQEG1aYPYBy.jpg,2024-05-24,The World's Best Burger,False,0,0
False,,"[53, 35, 28, 12]",1097275,en,Long Live Lennon,"After Lennon is inducted to a drug operation, he learns about a turf war revolving around his college campus. Lennon unites with his professor Tolliver and marijuana connoisseur Thunder, to help grow the empire. The companions decide it's time to take a stand in this war and they're not going to lose.",1.876,/e6xhM03mykUx5RQlPwsSLJK0ert.jpg,2024-05-24,Long Live Lennon,False,0,0
False,/2mGFHHH5KxdkO1tHZN6LMp6YtOi.jpg,"[16, 35, 10751]",748783,en,Garfield,"Animated feature film based on the popular comic strip about a sarcastic, lasagna-loving cat.",17.452,/3jTWKUe5znEpFGJFM7GyfWdnq9h.jpg,2024-05-24,Garfield,False,0,0
False,,"[28, 12, 878]",786892,en,Furiosa,"As the world falls, young Furiosa is snatched from the Green Place of Many Mothers into the hands of a great biker horde led by the warlord Dementus. Sweeping through the wasteland, they encounter the citadel presided over by Immortan Joe. The two tyrants wage war for dominance, and Furiosa must survive many trials as she puts together the means to find her way home.",4.194,/ifPzkSE7Couh4CM43FHCqEGBwrJ.jpg,2024-05-22,Furiosa,False,0,0
False,/gMLRKTwY5LpyZ8A5NSJbjKA6AYd.jpg,"[28, 878]",653346,en,Kingdom of the Planet of the Apes,"An all-new chapter in the Apes saga, picking up many years after the conclusion of 2017’s War for the Planet of the Apes.",12.22,/oxjHA6NHsb3EfyUo7TrSpJ1csoD.jpg,2024-05-22,Kingdom of the Planet of the Apes,False,0,0
